Pos,Name,GP,Team,Stat,League,Statname,ABBR,CREST
4,Perisic,12,Internazionale,5,Serie A,Assists,Int,https://upload.wikimedia.org/wikipedia/it/7/7e/Logo_FC_Internazionale_Milano_2014.png
5,Zapata,9,Sampdoria,4,Serie A,Assists,,https://upload.wikimedia.org/wikipedia/en/f/f7/Sampdoria_badge.png
6,Gomez,10,Atalanta,4,Serie A,Assists,,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg
7,Cuadrado,10,Juventus,4,Serie A,Assists,JUVE,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg
8,Antenucci,10,SPAL,4,Serie A,Assists,,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Spal2013_logo.svg/707px-Spal2013_logo.svg.png
9,de Paul,11,Udinese,4,Serie A,Assists,,http://upload.wikimedia.org/wikipedia/de/b/b1/Udinese_Calcio.svg
10,Ljajic,12,Torino,4,Serie A,Assists,FCT,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg
1,Insigne,12,Napoli,38,Serie A,Ch. Created,SSC,http://upload.wikimedia.org/wikipedia/commons/2/28/S.S.C._Napoli_logo.svg
2,Candreva,12,Internazionale,37,Serie A,Ch. Created,Int,https://upload.wikimedia.org/wikipedia/it/7/7e/Logo_FC_Internazionale_Milano_2014.png
3,Luis Alberto,11,Lazio,31,Serie A,Ch. Created,LAZ,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png
4,Ljajic,12,Torino,30,Serie A,Ch. Created,FCT,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg
5,Ghoulam,11,Napoli,28,Serie A,Ch. Created,SSC,http://upload.wikimedia.org/wikipedia/commons/2/28/S.S.C._Napoli_logo.svg
6,Perisic,12,Internazionale,28,Serie A,Ch. Created,Int,https://upload.wikimedia.org/wikipedia/it/7/7e/Logo_FC_Internazionale_Milano_2014.png
7,Gomez,10,Atalanta,26,Serie A,Ch. Created,,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg
8,Suso,11,Milan,26,Serie A,Ch. Created,Int,https://upload.wikimedia.org/wikipedia/commons/d/db/AC_Milan.svg
9,Falque,12,Torino,24,Serie A,Ch. Created,FCT,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg
10,Kolarov,10,Roma,23,Serie A,Ch. Created,ROM,http://upload.wikimedia.org/wikipedia/de/3/32/AS_Rom.svg
1,Falcao,9,Monaco,13,Ligue 1,Goals,MON,http://upload.wikimedia.org/wikipedia/de/3/3c/AS_Monaco.svg
2,Cavani,11,Paris Saint-Germain,13,Ligue 1,Goals,PSG,https://upload.wikimedia.org/wikipedia/en/a/a7/Paris_Saint-Germain_F.C..svg
3,Fekir,11,Lyon,11,Ligue 1,Goals,OLY,http://upload.wikimedia.org/wikipedia/de/f/f1/Olympique_Lyon.svg
4,Díaz Mejía,12,Lyon,9,Ligue 1,Goals,OLY,http://upload.wikimedia.org/wikipedia/de/f/f1/Olympique_Lyon.svg
5,Neymar,8,Paris Saint-Germain,7,Ligue 1,Goals,PSG,https://upload.wikimedia.org/wikipedia/en/a/a7/Paris_Saint-Germain_F.C..svg
6,Balotelli,8,Nice,6,Ligue 1,Goals,NIC,https://upload.wikimedia.org/wikipedia/fr/0/03/OGC_Nice_Logo.png
7,Depay,11,Lyon,6,Ligue 1,Goals,OLY,http://upload.wikimedia.org/wikipedia/de/f/f1/Olympique_Lyon.svg
8,N'Jie,8,Marseille,5,Ligue 1,Goals,MAR,http://upload.wikimedia.org/wikipedia/de/2/27/Olympique_Marseille_Logo.svg
9,Toko Ekambi,11,Angers,5,Ligue 1,Goals,,http://upload.wikimedia.org/wikipedia/de/0/0f/SCO_Angers.svg
10,Thauvin,12,Marseille,5,Ligue 1,Goals,MAR,http://upload.wikimedia.org/wikipedia/de/2/27/Olympique_Marseille_Logo.svg
1,Neymar,8,Paris Saint-Germain,5,Ligue 1,Assists,PSG,https://upload.wikimedia.org/wikipedia/en/a/a7/Paris_Saint-Germain_F.C..svg
2,Touré,5,Monaco,4,Ligue 1,Assists,MON,http://upload.wikimedia.org/wikipedia/de/3/3c/AS_Monaco.svg
3,Dossevi,8,Metz,4,Ligue 1,Assists,FCM,http://upload.wikimedia.org/wikipedia/de/b/ba/FC_Metz_Logo.svg
4,Mbappe,9,Paris Saint-Germain,4,Ligue 1,Assists,PSG,https://upload.wikimedia.org/wikipedia/en/a/a7/Paris_Saint-Germain_F.C..svg
5,Santos Moutinho,10,Monaco,4,Ligue 1,Assists,MON,http://upload.wikimedia.org/wikipedia/de/3/3c/AS_Monaco.svg
6,Fekir,11,Lyon,4,Ligue 1,Assists,OLY,http://upload.wikimedia.org/wikipedia/de/f/f1/Olympique_Lyon.svg
7,Thauvin,12,Marseille,4,Ligue 1,Assists,MAR,http://upload.wikimedia.org/wikipedia/de/2/27/Olympique_Marseille_Logo.svg
8,Silva de Oliveira,12,Bordeaux,4,Ligue 1,Assists,BOR,http://upload.wikimedia.org/wikipedia/de/e/ea/Girondins_Bordeaux_Logo.svg
9,Mesquita Lopes,12,Monaco,4,Ligue 1,Assists,MON,http://upload.wikimedia.org/wikipedia/de/3/3c/AS_Monaco.svg
10,Kamano,12,Bordeaux,4,Ligue 1,Assists,BOR,http://upload.wikimedia.org/wikipedia/de/e/ea/Girondins_Bordeaux_Logo.svg
1,Neymar,8,Paris Saint-Germain,34,Ligue 1,Ch. Created,PSG,https://upload.wikimedia.org/wikipedia/en/a/a7/Paris_Saint-Germain_F.C..svg
2,Silva de Oliveira,12,Bordeaux,31,Ligue 1,Ch. Created,BOR,http://upload.wikimedia.org/wikipedia/de/e/ea/Girondins_Bordeaux_Logo.svg
3,Thauvin,12,Marseille,30,Ligue 1,Ch. Created,MAR,http://upload.wikimedia.org/wikipedia/de/2/27/Olympique_Marseille_Logo.svg
4,Lees-Melou,12,Nice,27,Ligue 1,Ch. Created,NIC,https://upload.wikimedia.org/wikipedia/fr/0/03/OGC_Nice_Logo.png
5,Bourigeaud,12,Rennes,26,Ligue 1,Ch. Created,,https://upload.wikimedia.org/wikipedia/en/9/9e/Stade_Rennais_FC.svg
6,Dossevi,8,Metz,25,Ligue 1,Ch. Created,FCM,http://upload.wikimedia.org/wikipedia/de/b/ba/FC_Metz_Logo.svg
7,Féret,12,Caen,25,Ligue 1,Ch. Created,SMC,https://upload.wikimedia.org/wikipedia/fr/7/79/LogoSmc2013.png
8,Payet,7,Marseille,24,Ligue 1,Ch. Created,MAR,http://upload.wikimedia.org/wikipedia/de/2/27/Olympique_Marseille_Logo.svg
9,Fekir,11,Lyon,24,Ligue 1,Ch. Created,OLY,http://upload.wikimedia.org/wikipedia/de/f/f1/Olympique_Lyon.svg
10,Mangani,12,Angers,24,Ligue 1,Ch. Created,,http://upload.wikimedia.org/wikipedia/de/0/0f/SCO_Angers.svg
